numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7623,1784155340.268711090,1784155340.268846989,136.000,inconnue,-64,39,7,0x07,LE 1M
7624,1784155340.307219028,1784155340.307491064,272.000,45:de:c9:20:50:35,-75,37,24,0x00,LE 1M
7625,1784155340.393591881,1784155340.393767834,176.000,5c:52:b3:c2:63:e6,-60,38,12,0x03,LE 1M
7626,1784155340.405860901,1784155340.406132936,272.000,52:2a:01:6b:af:fc,-91,39,24,0x00,LE 1M
7627,1784155340.465029001,1784155340.465301037,272.000,5c:6a:e6:84:89:d9,-77,37,24,0x00,LE 1M
7628,1784155340.508574009,1784155340.508749962,176.000,5c:6a:e6:84:89:d9,-60,38,12,0x03,LE 1M
7629,1784155340.564163923,1784155340.564435959,272.000,5c:6a:e6:84:89:d9,-84,39,24,0x00,LE 1M
7630,1784155340.596359968,1784155340.596623898,264.000,51:3a:c6:48:bc:0e,-84,37,23,0x00,LE 1M
7631,1784155340.628911018,1784155340.629086971,176.000,51:3a:c6:48:bc:0e,-60,38,12,0x03,LE 1M
7632,1784155340.672123909,1784155340.672259808,136.000,inconnue,-64,39,7,0x07,LE 1M
7633,1784155340.695710897,1784155340.695982933,272.000,45:de:c9:20:50:35,-75,37,24,0x00,LE 1M
7634,1784155340.696510077,1784155340.696686029,176.000,45:de:c9:20:50:35,-59,38,12,0x03,LE 1M
7635,1784155340.697453022,1784155340.697725058,272.000,45:de:c9:20:50:35,-81,39,24,0x00,LE 1M
7636,1784155340.706952095,1784155340.707087994,136.000,inconnue,-62,37,7,0x07,LE 1M
7637,1784155340.795471907,1784155340.795607805,136.000,inconnue,-66,38,7,0x07,LE 1M
7638,1784155340.796622992,1784155340.796758890,136.000,inconnue,-64,39,7,0x07,LE 1M
7639,1784155340.798158884,1784155340.798438787,280.000,6b:64:f0:75:f7:1b,-80,37,25,0x00,LE 1M
