temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
123.88414025306702,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-67,1.9952623149688828e-10,,2.901480254423714e-06
124.49033737182617,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-62,6.309573444801942e-10,,2.901480254423714e-06
125.16454100608826,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-68,1.584893192461111e-10,,2.901480254423714e-06
125.79238986968994,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-47,1.9952623149688786e-08,,2.901480254423714e-06
126.47965002059937,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-47,1.9952623149688786e-08,,2.901480254423714e-06
127.17581367492676,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-53,5.011872336272715e-09,,2.901480254423714e-06
127.82409977912903,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-64,3.9810717055349694e-10,,2.901480254423714e-06
128.44258618354797,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-69,1.2589254117941662e-10,,2.901480254423714e-06
129.1212465763092,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-65,3.1622776601683795e-10,,2.901480254423714e-06
129.75343942642212,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-60,1e-09,,2.901480254423714e-06
130.75395011901855,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-53,5.011872336272715e-09,,2.901480254423714e-06
131.59573125839233,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-60,1e-09,,2.901480254423714e-06
132.63893175125122,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-60,1e-09,,2.901480254423714e-06
133.28496670722961,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-62,6.309573444801942e-10,,2.901480254423714e-06
134.00685739517212,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-71,7.943282347242822e-11,,2.901480254423714e-06
134.66439533233643,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-61,7.943282347242822e-10,,2.901480254423714e-06
135.44574427604675,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-75,3.1622776601683794e-11,,2.901480254423714e-06
136.15452933311462,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-44,3.981071705534969e-08,,2.901480254423714e-06
137.3667140007019,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-50,1e-08,,2.901480254423714e-06
138.01656651496887,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-49,1.2589254117941661e-08,,2.901480254423714e-06
138.75986433029175,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-72,6.309573444801942e-11,,2.901480254423714e-06
139.65896677970886,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-59,1.2589254117941663e-09,,2.901480254423714e-06
140.39873433113098,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-58,1.584893192461111e-09,,2.901480254423714e-06
141.18127512931824,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-47,1.9952623149688786e-08,,2.901480254423714e-06
142.01667094230652,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-50,1e-08,,2.901480254423714e-06
142.7932870388031,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-49,1.2589254117941661e-08,,2.901480254423714e-06
143.52247071266174,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-65,3.1622776601683795e-10,,2.901480254423714e-06
144.20320677757263,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-73,5.011872336272715e-11,,2.901480254423714e-06
144.89413046836853,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-66,2.511886431509582e-10,,2.901480254423714e-06
145.86640548706055,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-47,1.9952623149688786e-08,,2.901480254423714e-06
146.6872923374176,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-50,1e-08,,2.901480254423714e-06
147.67340183258057,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-70,1e-10,,2.901480254423714e-06
148.45249605178833,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-73,5.011872336272715e-11,,2.901480254423714e-06
149.31153512001038,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-73,5.011872336272715e-11,,2.901480254423714e-06
150.1304042339325,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-73,5.011872336272715e-11,,2.901480254423714e-06
151.22552251815796,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-51,7.943282347242822e-09,,2.901480254423714e-06
152.09377121925354,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-56,2.511886431509582e-09,,2.901480254423714e-06
152.86807131767273,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-72,6.309573444801942e-11,,2.901480254423714e-06
153.72866916656494,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-65,3.1622776601683795e-10,,2.901480254423714e-06
154.56192636489868,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-70,1e-10,,2.901480254423714e-06
155.40280485153198,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-59,1.2589254117941663e-09,,2.901480254423714e-06
156.22035002708435,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-67,1.9952623149688828e-10,,2.901480254423714e-06
157.32854318618774,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-55,3.1622776601683795e-09,,2.901480254423714e-06
157.97701263427734,Beacons BLE,Beacon BLE | MAC=5E:56:09:E1:3A:52,-57,1.9952623149688828e-09,,2.901480254423714e-06
158.6399383544922,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-66,2.511886431509582e-10,,2.901480254423714e-06
159.7480993270874,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-81,7.943282347242821e-12,,2.901480254423714e-06
160.69918131828308,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-50,1e-08,,2.901480254423714e-06
161.48516511917114,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-65,3.1622776601683795e-10,,2.901480254423714e-06
162.3771414756775,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-51,7.943282347242822e-09,,2.901480254423714e-06
163.57737374305725,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-47,1.9952623149688786e-08,,2.901480254423714e-06
164.50714015960693,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-65,3.1622776601683795e-10,,2.901480254423714e-06
165.33735179901123,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-59,1.2589254117941663e-09,,2.901480254423714e-06
166.17266249656677,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-59,1.2589254117941663e-09,,2.901480254423714e-06
166.99809575080872,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-61,7.943282347242822e-10,,2.901480254423714e-06
167.82315039634705,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-64,3.9810717055349694e-10,,2.901480254423714e-06
168.65507078170776,Beacons BLE,Beacon BLE | MAC=5C:D3:26:40:E1:C6,-72,6.309573444801942e-11,,2.901480254423714e-06
169.71251797676086,Beacons BLE,Beacon BLE | MAC=5C:D3:26:40:E1:C6,-72,6.309573444801942e-11,,2.901480254423714e-06
170.54199242591858,Beacons BLE,Beacon BLE | MAC=5C:D3:26:40:E1:C6,-75,3.1622776601683794e-11,,2.901480254423714e-06
171.43556475639343,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-60,1e-09,,2.901480254423714e-06
