temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
88.08843445777893,Wi-Fi 2.4 GHz,"PAQUET,3073,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-34,3.981071705534969e-07,,7.392265377191218e-05
92.69444251060486,Wi-Fi 2.4 GHz,"PAQUET,3074,TAILLE,22,Welcome to new project",-35,3.162277660168379e-07,,7.392265377191218e-05
97.77643036842346,Wi-Fi 2.4 GHz,"PAQUET,3075,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
102.87264370918274,Wi-Fi 2.4 GHz,"PAQUET,3076,TAILLE,22,Welcome to new project",-35,3.162277660168379e-07,,7.392265377191218e-05
107.96199297904968,Wi-Fi 2.4 GHz,"PAQUET,3077,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-43,5.011872336272725e-08,,7.392265377191218e-05
113.03543043136597,Wi-Fi 2.4 GHz,"PAQUET,3078,TAILLE,22,Welcome to new project",-43,5.011872336272725e-08,,7.392265377191218e-05
118.09682369232178,Wi-Fi 2.4 GHz,"PAQUET,3079,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-45,3.162277660168379e-08,,7.392265377191218e-05
122.67041087150574,Wi-Fi 2.4 GHz,"PAQUET,3080,TAILLE,22,Welcome to new project",-40,1e-07,,7.392265377191218e-05
127.81676030158997,Wi-Fi 2.4 GHz,"PAQUET,3081,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-39,1.2589254117941662e-07,,7.392265377191218e-05
132.9264178276062,Wi-Fi 2.4 GHz,"PAQUET,3082,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.392265377191218e-05
138.04495334625244,Wi-Fi 2.4 GHz,"PAQUET,3083,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
142.67217588424683,Wi-Fi 2.4 GHz,"PAQUET,3084,TAILLE,22,Welcome to new project",-35,3.162277660168379e-07,,7.392265377191218e-05
147.7930989265442,Wi-Fi 2.4 GHz,"PAQUET,3085,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
152.92450332641602,Wi-Fi 2.4 GHz,"PAQUET,3086,TAILLE,22,Welcome to new project",-35,3.162277660168379e-07,,7.392265377191218e-05
158.06943035125732,Wi-Fi 2.4 GHz,"PAQUET,3087,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
162.7151608467102,Wi-Fi 2.4 GHz,"PAQUET,3088,TAILLE,22,Welcome to new project",-34,3.981071705534969e-07,,7.392265377191218e-05
167.80988764762878,Wi-Fi 2.4 GHz,"PAQUET,3089,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-38,1.584893192461114e-07,,7.392265377191218e-05
172.94757199287415,Wi-Fi 2.4 GHz,"PAQUET,3090,TAILLE,22,Welcome to new project",-38,1.584893192461114e-07,,7.392265377191218e-05
178.06675267219543,Wi-Fi 2.4 GHz,"PAQUET,3091,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-38,1.584893192461114e-07,,7.392265377191218e-05
182.70311188697815,Wi-Fi 2.4 GHz,"PAQUET,3092,TAILLE,22,Welcome to new project",-40,1e-07,,7.392265377191218e-05
187.83178234100342,Wi-Fi 2.4 GHz,"PAQUET,3093,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
192.4593026638031,Wi-Fi 2.4 GHz,"PAQUET,3094,TAILLE,22,Welcome to new project",-37,1.9952623149688787e-07,,7.392265377191218e-05
197.56452178955078,Wi-Fi 2.4 GHz,"PAQUET,3095,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-39,1.2589254117941662e-07,,7.392265377191218e-05
203.1992564201355,Wi-Fi 2.4 GHz,"PAQUET,3096,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
207.84164762496948,Wi-Fi 2.4 GHz,"PAQUET,3097,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-53,5.011872336272715e-09,,7.392265377191218e-05
