timestamp;address;pdu_type_code;pdu_type_name;length_bytes;rssi_dbm;channel;uuid;major;minor;tx_power_dbm;raw_hex;source_field;manufacturer;device_type;detection_confidence;local_name;device_id;canonical_uuid;calibrated_rssi_dbm;received_power_w;received_power_nw;airtime_us;frame_energy_j;frame_energy_nj;alert_level;alert_metric_name;alert_metric_value
1784762965.849986;68:00:48:f7:63:93;0;ADV_IND;34;-61.0;37;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:68:00:48:f7:63:93;-61.0;7.943282347242822e-10;0.7943282347242822;352.0;2.796035386229473e-13;0.0002796035386229473;ORANGE;RSSI;-61.0
1784762965.871875;68:00:48:f7:63:93;0;ADV_IND;34;-59.0;38;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:68:00:48:f7:63:93;-59.0;1.2589254117941663e-09;1.2589254117941662;352.0;4.431417449515465e-13;0.0004431417449515465;ORANGE;RSSI;-59.0
1784762965.898762;68:00:48:f7:63:93;0;ADV_IND;34;-68.0;39;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:68:00:48:f7:63:93;-68.0;1.584893192461111e-10;0.1584893192461111;352.0;5.57882403746311e-14;5.5788240374631104e-05;ORANGE;RSSI;-68.0
1784762965.947451;78:d8:0b:6e:66:9e;0;ADV_IND;33;-59.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_004;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-59.0;1.2589254117941663e-09;1.2589254117941662;344.0;4.3307034165719315e-13;0.0004330703416571932;ORANGE;RSSI;-59.0
1784762965.979354;78:d8:0b:6e:66:9e;0;ADV_IND;33;-69.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_004;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-69.0;1.2589254117941662e-10;0.12589254117941662;344.0;4.3307034165719315e-14;4.3307034165719316e-05;ORANGE;RSSI;-69.0
1784762966.073098;4f:2d:cc:dd:4c:1d;0;ADV_IND;20;-75.0;37;;0;0;0;100203000004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_002;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;-75.0;3.1622776601683794e-11;0.03162277660168379;240.0;7.58946638440411e-15;7.58946638440411e-06;VERT;RSSI;-75.0
1784762966.104841;4f:2d:cc:dd:4c:1d;0;ADV_IND;20;-70.0;38;;0;0;0;100203000004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_002;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;-70.0;1e-10;0.1;240.0;2.4e-14;2.3999999999999997e-05;ORANGE;RSSI;-70.0
1784762966.239413;5b:d0:b2:88:8f:9a;0;ADV_IND;36;-69.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;00112233-4455-6677-8899-aabbccddeeff;-69.0;1.2589254117941662e-10;0.12589254117941662;368.0;4.6328455154025316e-14;4.632845515402532e-05;ORANGE;RSSI;-69.0
1784762966.253343;50:65:47:01:3a:30;0;ADV_IND;36;-60.0;37;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;00112233-4455-6677-8899-aabbccddeeff;-60.0;1e-09;1.0;368.0;3.68e-13;0.000368;ORANGE;RSSI;-60.0
1784762966.256386;50:65:47:01:3a:30;0;ADV_IND;36;-60.0;38;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;00112233-4455-6677-8899-aabbccddeeff;-60.0;1e-09;1.0;368.0;3.68e-13;0.000368;ORANGE;RSSI;-60.0
1784762966.258172;50:65:47:01:3a:30;0;ADV_IND;36;-69.0;39;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;00112233-4455-6677-8899-aabbccddeeff;-69.0;1.2589254117941662e-10;0.12589254117941662;368.0;4.6328455154025316e-14;4.632845515402532e-05;ORANGE;RSSI;-69.0
1784762966.281429;68:00:48:f7:63:93;0;ADV_IND;34;-61.0;37;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:68:00:48:f7:63:93;-61.0;7.943282347242822e-10;0.7943282347242822;352.0;2.796035386229473e-13;0.0002796035386229473;ORANGE;RSSI;-61.0
1784762966.309835;68:00:48:f7:63:93;0;ADV_IND;34;-59.0;38;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:68:00:48:f7:63:93;-59.0;1.2589254117941663e-09;1.2589254117941662;352.0;4.431417449515465e-13;0.0004431417449515465;ORANGE;RSSI;-59.0
