temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
642.63,83003,129.77,68.06,"('10.213.124.218', 2390)"
643.63,83133,129.68,68.0,"('10.213.124.218', 2390)"
644.64,83264,130.02,68.18,"('10.213.124.218', 2390)"
645.64,83394,128.95,67.62,"('10.213.124.218', 2390)"
646.66,83524,127.99,67.12,"('10.213.124.218', 2390)"
647.67,83655,129.48,67.9,"('10.213.124.218', 2390)"
648.67,83786,130.83,68.61,"('10.213.124.218', 2390)"
649.69,83916,128.33,67.3,"('10.213.124.218', 2390)"
650.7,84046,127.63,66.93,"('10.213.124.218', 2390)"
651.73,84178,128.85,67.57,"('10.213.124.218', 2390)"
652.73,84311,132.42,69.44,"('10.213.124.218', 2390)"
653.74,84441,129.31,67.81,"('10.213.124.218', 2390)"
654.74,84571,129.23,67.77,"('10.213.124.218', 2390)"
655.76,84701,128.45,67.36,"('10.213.124.218', 2390)"
