timestamp;address;pdu_type_code;pdu_type_name;length_bytes;rssi_dbm;channel;uuid;major;minor;tx_power_dbm;raw_hex;source_field;device_id;canonical_uuid;calibrated_rssi_dbm;received_power_w;received_power_nw;airtime_us;frame_energy_j;frame_energy_nj;alert_level;alert_metric_name;alert_metric_value
1784757943.077152;53:2a:90:29:cc:99;0;ADV_IND;36;-66.0;39;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784757943.192373;7e:de:23:eb:ef:f5;0;ADV_IND;36;-70.0;37;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-70.0;1e-10;0.1;368.0;3.68e-14;3.68e-05;ORANGE;RSSI;-70.0
1784757943.199709;7e:de:23:eb:ef:f5;0;ADV_IND;36;-67.0;38;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-67.0;1.9952623149688828e-10;0.19952623149688828;368.0;7.342565319085489e-14;7.342565319085489e-05;ORANGE;RSSI;-67.0
1784757943.232109;7e:de:23:eb:ef:f5;0;ADV_IND;36;-66.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784757943.381261;42:d4:00:be:1f:93;0;ADV_IND;33;-66.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-66.0;2.511886431509582e-10;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;ORANGE;RSSI;-66.0
1784757943.413849;42:d4:00:be:1f:93;0;ADV_IND;33;-66.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-66.0;2.511886431509582e-10;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;ORANGE;RSSI;-66.0
1784757943.473965;53:2a:90:29:cc:99;0;ADV_IND;36;-67.0;38;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-67.0;1.9952623149688828e-10;0.19952623149688828;368.0;7.342565319085489e-14;7.342565319085489e-05;ORANGE;RSSI;-67.0
1784757943.505639;53:2a:90:29:cc:99;0;ADV_IND;36;-65.0;39;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-65.0;3.1622776601683795e-10;0.31622776601683794;368.0;1.1637181789419636e-13;0.00011637181789419637;ORANGE;RSSI;-65.0
1784757943.619941;7e:de:23:eb:ef:f5;0;ADV_IND;36;-72.0;37;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-72.0;6.309573444801942e-11;0.06309573444801943;368.0;2.3219230276871145e-14;2.3219230276871145e-05;VERT;RSSI;-72.0
1784757943.652058;7e:de:23:eb:ef:f5;0;ADV_IND;36;-66.0;38;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784757943.68451;7e:de:23:eb:ef:f5;0;ADV_IND;36;-65.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-65.0;3.1622776601683795e-10;0.31622776601683794;368.0;1.1637181789419636e-13;0.00011637181789419637;ORANGE;RSSI;-65.0
1784757943.74436;42:d4:00:be:1f:93;0;ADV_IND;33;-66.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-66.0;2.511886431509582e-10;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;ORANGE;RSSI;-66.0
1784757943.792059;42:d4:00:be:1f:93;0;ADV_IND;33;-74.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-74.0;3.9810717055349695e-11;0.03981071705534969;344.0;1.3694886667040295e-14;1.3694886667040296e-05;VERT;RSSI;-74.0
