RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-16 15:46:14.415290
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : dc:a6:32:65:e5:71
Nombre d'appareils détectés : 199
Nombre de trames analysées : 503

DURÉE DES TRAMES
-----------------
Durée moyenne : 368.000 µs
Durée minimale : 368.000 µs
Durée maximale : 368.000 µs

RSSI
----
RSSI moyen : -44.27 dBm
RSSI minimal : -51 dBm
RSSI maximal : -44 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 44 trames
Canal 38 : 217 trames
Canal 39 : 242 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | 43:5e:7d:72:80:4e | 1 trames | RSSI moyen=-90 | Durée moyenne=272.0 µs
Inconnu | b6:e7:94:c6:c7:6d | 1 trames | RSSI moyen=-90 | Durée moyenne=536.0 µs
Inconnu | b2:e6:b4:c7:d7:6d | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | b4:e7:b0:c4:d7:6d | 1 trames | RSSI moyen=-95 | Durée moyenne=280.0 µs
Inconnu | 43:9e:7c:b2:80:8c | 1 trames | RSSI moyen=-96 | Durée moyenne=272.0 µs
Inconnu | b4:07:b0:c6:d7:6d | 1 trames | RSSI moyen=-96 | Durée moyenne=536.0 µs
Inconnu | 64:2e:e0:6b:a1:84 | 1 trames | RSSI moyen=-96 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:80:ee | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | ea:23:c0:16:56:c9 | 1 trames | RSSI moyen=-90 | Durée moyenne=376.0 µs
Inconnu | 5a:c9:b6:d3:5e:42 | 1 trames | RSSI moyen=-96 | Durée moyenne=464.0 µs
Inconnu | 78:48:94:e3:5c:58 | 1 trames | RSSI moyen=-84 | Durée moyenne=272.0 µs
Inconnu | 03:9e:fc:b2:80:ce | 1 trames | RSSI moyen=-84 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:6c:5e | 1 trames | RSSI moyen=-98 | Durée moyenne=272.0 µs
Inconnu | b5:e1:30:c6:cf:6d | 1 trames | RSSI moyen=-94 | Durée moyenne=536.0 µs
Inconnu | 78:44:94:e3:5f:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=264.0 µs
Inconnu | 43:9e:7c:b2:80:0e | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 78:40:90:e3:5c:5c | 1 trames | RSSI moyen=-90 | Durée moyenne=272.0 µs
Inconnu | f0:bb:06:fa:61:0c | 1 trames | RSSI moyen=-87 | Durée moyenne=192.0 µs
Inconnu | 43:9e:7c:a2:80:8e | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 43:9c:7c:b2:80:ce | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 1e:c1:dc:99:20:ce | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 78:04:94:93:5c:de | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:eb:5c:6e | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:f3:5e:5e | 1 trames | RSSI moyen=-92 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:54:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:89:de | 1 trames | RSSI moyen=-97 | Durée moyenne=272.0 µs
Inconnu | 78:44:ec:e3:5c:7e | 1 trames | RSSI moyen=-97 | Durée moyenne=272.0 µs
Inconnu | 7f:40:94:e3:5c:5e | 1 trames | RSSI moyen=-93 | Durée moyenne=272.0 µs
Inconnu | 4b:9e:bc:b2:c0:ce | 1 trames | RSSI moyen=-93 | Durée moyenne=272.0 µs
Inconnu | 47:be:64:b6:80:2e | 1 trames | RSSI moyen=-98 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:dc:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 78:40:c4:e3:5c:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:80:8e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:fc:6f | 1 trames | RSSI moyen=-97 | Durée moyenne=272.0 µs
Inconnu | 63:9e:7c:b2:80:ce | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 41:9e:fc:b2:81:ce | 1 trames | RSSI moyen=-86 | Durée moyenne=272.0 µs
Inconnu | 7e:40:14:e2:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | e3:b4:de:53:f0:83 | 1 trames | RSSI moyen=-92 | Durée moyenne=192.0 µs
Inconnu | b8:e7:b0:86:d7:6d | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | 30:77:12:21:a2:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | 78:40:94:e3:5f:5e | 1 trames | RSSI moyen=-81 | Durée moyenne=272.0 µs
Inconnu | 41:9e:74:b2:80:ce | 1 trames | RSSI moyen=-86 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7a:b2:80:ce | 1 trames | RSSI moyen=-87 | Durée moyenne=528.0 µs
Inconnu | 64:2a:e0:6a:a1:87 | 1 trames | RSSI moyen=-94 | Durée moyenne=528.0 µs
Inconnu | 78:40:94:83:14:7f | 1 trames | RSSI moyen=-82 | Durée moyenne=192.0 µs
Inconnu | 43:9e:7c:b2:8c:ce | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 37:f7:12:50:22:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | 78:40:94:e3:5c:52 | 1 trames | RSSI moyen=-82 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7b:b2:81:de | 1 trames | RSSI moyen=-85 | Durée moyenne=560.0 µs
Inconnu | ea:23:c0:06:5e:c9 | 1 trames | RSSI moyen=-88 | Durée moyenne=376.0 µs
Inconnu | 78:60:94:e3:5c:5e | 1 trames | RSSI moyen=-79 | Durée moyenne=272.0 µs
Inconnu | 4b:9e:5c:b2:80:ce | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
